                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86512,                 3.1997,                0.92134,                0.01406,                0.95455,                0.03588,                0.03022,                 0.5329,                 3.2668,                0.80752,                  6e-05,                  6e-05,                  6e-05
                      2,                 0.7767,                 2.9415,                0.87485,                0.01457,                      1,                0.07997,                0.06433,                0.62414,                 3.2222,                0.79487,             0.00013861,             0.00013861,             0.00013861
                      3,                0.81515,                 2.4636,                0.83739,                0.01481,                      1,                 0.0972,                0.07909,                0.63079,                 3.1928,                0.79041,             0.00021564,             0.00021564,             0.00021564
                      4,                0.79424,                 1.8317,                0.89725,                0.01515,                      1,                0.23995,                0.14467,                 0.6612,                 3.1321,                0.79248,             0.00029109,             0.00029109,             0.00029109
                      5,                0.75944,                 1.2826,                0.84515,                0.01501,                      1,                0.13719,                0.09016,                 0.7666,                 3.0885,                0.80738,             0.00036495,             0.00036495,             0.00036495
                      6,                0.76555,                 1.0797,                0.85279,                0.01475,                      1,                0.12234,                0.09208,                0.73939,                 3.0101,                0.80786,             0.00043723,             0.00043723,             0.00043723
                      7,                0.75913,                 1.0086,                0.88513,                0.01421,                      1,                0.10847,                0.08016,                0.72634,                 2.9127,                0.80526,             0.00050792,             0.00050792,             0.00050792
                      8,                0.71454,                0.80856,                0.85808,                0.01387,                      1,                0.46285,                 0.3203,                0.99158,                 2.8684,                0.84648,             0.00057703,             0.00057703,             0.00057703
                      9,                 0.7102,                0.72781,                0.86469,                0.01308,                      1,                0.66762,                0.51866,                0.73523,                  2.859,                0.80955,             0.00064456,             0.00064456,             0.00064456
                     10,                0.70611,                0.68848,                0.84124,                 0.0129,                      1,                   0.58,                0.42583,                0.96908,                  2.853,                0.84847,              0.0007105,              0.0007105,              0.0007105
                     11,                0.74016,                0.75106,                0.85147,                0.01242,                      1,                0.36819,                0.28354,                 0.8266,                 2.8286,                0.83309,             0.00077486,             0.00077486,             0.00077486
                     12,                0.68671,                0.70325,                0.86181,                0.01232,                      1,                0.08508,                0.06381,                0.73783,                 2.9193,                0.81787,             0.00083763,             0.00083763,             0.00083763
                     13,                0.67192,                0.70705,                0.83907,                 0.0116,                      1,                0.18342,                0.13405,                0.77863,                 2.7796,                 0.8303,             0.00089882,             0.00089882,             0.00089882
                     14,                0.68912,                0.65511,                0.83345,                0.01116,                      1,                0.35993,                0.29298,                0.66378,                 2.6424,                0.81296,             0.00095843,             0.00095843,             0.00095843
                     15,                0.72609,                0.65027,                0.85864,                0.01047,                      1,                0.70587,                0.58385,                0.59074,                 2.5579,                0.79628,              0.0010165,              0.0010165,              0.0010165
                     16,                0.65755,                0.62312,                 0.8224,                0.00991,                      1,                0.79023,                0.65622,                0.62292,                  2.513,                0.80543,              0.0010729,              0.0010729,              0.0010729
                     17,                0.69152,                0.63335,                0.83616,                0.00942,                      1,                  0.891,                0.73958,                0.62818,                 2.4803,                0.80539,              0.0011277,              0.0011277,              0.0011277
                     18,                0.71828,                0.61753,                 0.8389,                0.06073,                      1,                0.99456,                0.82981,                0.59424,                 2.2855,                0.79867,               0.001181,               0.001181,               0.001181
                     19,                0.67156,                0.61054,                0.82974,                      1,                0.89313,                  0.995,                0.81443,                0.63539,                 2.0814,                0.80762,              0.0012327,              0.0012327,              0.0012327
                     20,                0.68881,                0.57753,                0.85868,                      1,                0.67408,                  0.995,                0.84948,                0.60242,                 1.8977,                0.80166,              0.0012828,              0.0012828,              0.0012828
                     21,                0.67863,                0.57341,                0.85761,                      1,                0.98138,                  0.995,                0.85836,                0.57786,                  1.652,                0.80096,              0.0013313,              0.0013313,              0.0013313
                     22,                0.60314,                0.53752,                0.84012,                      1,                0.98717,                  0.995,                0.85286,                0.63468,                 1.5624,                0.82192,              0.0013783,              0.0013783,              0.0013783
                     23,                0.63222,                0.55503,                0.84809,                      1,                 0.9657,                  0.995,                0.86002,                0.59561,                 1.6222,                0.80898,              0.0014236,              0.0014236,              0.0014236
                     24,                 0.6314,                0.58725,                0.88037,                      1,                0.98976,                  0.995,                0.86475,                0.60599,                  1.562,                0.80387,              0.0014674,              0.0014674,              0.0014674
                     25,                0.64125,                0.57215,                0.85432,                      1,                0.99845,                  0.995,                0.86657,                0.62024,                 1.3501,                0.80873,              0.0015096,              0.0015096,              0.0015096
                     26,                0.66154,                0.57283,                0.86109,                 0.9945,                      1,                  0.995,                0.86927,                0.60379,                 1.0667,                0.79345,               0.001505,               0.001505,               0.001505
                     27,                0.69315,                0.55249,                0.86087,                0.99649,                      1,                  0.995,                0.86388,                0.61716,                0.88829,                0.80345,              0.0014852,              0.0014852,              0.0014852
                     28,                0.62538,                0.56368,                0.85409,                0.99683,                      1,                  0.995,                0.86723,                0.58412,                0.85877,                0.79789,              0.0014654,              0.0014654,              0.0014654
                     29,                0.66163,                0.52961,                0.83296,                0.99704,                      1,                  0.995,                0.87131,                0.58729,                0.83362,                0.79928,              0.0014456,              0.0014456,              0.0014456
                     30,                0.65119,                0.53774,                0.84994,                0.99687,                      1,                  0.995,                 0.8619,                 0.5807,                0.79318,                0.79243,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.5986,                0.52346,                0.85307,                0.99732,                      1,                  0.995,                0.86649,                0.59015,                0.74612,                0.79919,               0.001406,               0.001406,               0.001406
                     32,                0.62614,                 0.5167,                0.84221,                0.99778,                      1,                  0.995,                0.87476,                0.57315,                0.74071,                 0.7965,              0.0013862,              0.0013862,              0.0013862
                     33,                0.62901,                 0.5142,                0.86191,                0.99712,                      1,                  0.995,                0.88832,                0.51556,                0.77547,                0.77721,              0.0013664,              0.0013664,              0.0013664
                     34,                0.55292,                0.49837,                0.83677,                0.99791,                      1,                  0.995,                0.87852,                0.54224,                0.66419,                0.78028,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54469,                0.48328,                 0.8559,                0.99828,                      1,                  0.995,                0.86972,                0.53661,                0.53713,                0.78075,              0.0013268,              0.0013268,              0.0013268
                     36,                0.55872,                0.47761,                0.83221,                0.99866,                      1,                  0.995,                0.87023,                0.54934,                0.48333,                0.78631,               0.001307,               0.001307,               0.001307
                     37,                0.60294,                 0.4883,                 0.8367,                0.99872,                      1,                  0.995,                0.88212,                 0.5095,                0.45268,                0.77787,              0.0012872,              0.0012872,              0.0012872
                     38,                0.57455,                0.46952,                0.84668,                0.99868,                      1,                  0.995,                0.86339,                 0.5477,                0.48136,                0.78384,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58491,                0.46462,                0.83286,                0.99854,                      1,                  0.995,                0.86031,                  0.572,                0.50853,                0.78788,              0.0012476,              0.0012476,              0.0012476
                     40,                0.54854,                0.48353,                0.85229,                0.99856,                      1,                  0.995,                0.87448,                0.52365,                0.53491,                0.78231,              0.0012278,              0.0012278,              0.0012278
                     41,                0.56205,                0.47627,                 0.8206,                0.99838,                      1,                  0.995,                0.88468,                0.49932,                0.52907,                0.78016,               0.001208,               0.001208,               0.001208
                     42,                0.53538,                0.47021,                0.81442,                0.99838,                      1,                  0.995,                0.89608,                0.49591,                0.46632,                0.77806,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52429,                 0.4424,                0.81091,                 0.9986,                      1,                  0.995,                0.90107,                 0.4737,                0.42319,                0.77378,              0.0011684,              0.0011684,              0.0011684
                     44,                0.51881,                 0.4504,                  0.822,                 0.9987,                      1,                  0.995,                0.90094,                0.47691,                0.42576,                0.77453,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64547,                 0.4892,                0.88486,                0.99874,                      1,                  0.995,                0.89264,                0.50012,                0.43167,                0.77666,              0.0011288,              0.0011288,              0.0011288
                     46,                0.50343,                0.42807,                0.81235,                0.99874,                      1,                  0.995,                  0.887,                0.51983,                0.45456,                0.78255,               0.001109,               0.001109,               0.001109
                     47,                 0.5355,                0.43006,                0.84026,                 0.9987,                      1,                  0.995,                0.88167,                0.53229,                0.45993,                0.78571,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52955,                0.44645,                0.82128,                0.99866,                      1,                  0.995,                0.88961,                0.51261,                0.44906,                0.77882,              0.0010694,              0.0010694,              0.0010694
                     49,                0.57993,                 0.4359,                0.81822,                0.99865,                      1,                  0.995,                0.87988,                0.50954,                0.44402,                 0.7752,              0.0010496,              0.0010496,              0.0010496
                     50,                0.53817,                0.45923,                0.82188,                0.99861,                      1,                  0.995,                0.89075,                0.50016,                0.44361,                0.77378,              0.0010298,              0.0010298,              0.0010298
                     51,                0.52943,                0.44286,                0.84552,                0.99858,                      1,                  0.995,                0.88723,                0.50051,                0.45313,                0.77393,                0.00101,                0.00101,                0.00101
                     52,                0.55065,                0.46591,                0.82234,                0.99864,                      1,                  0.995,                0.89109,                0.49677,                 0.4298,                0.77245,              0.0009902,              0.0009902,              0.0009902
                     53,                0.50738,                0.43367,                0.81048,                0.99866,                      1,                  0.995,                0.88534,                0.48869,                0.40594,                0.77124,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57004,                0.46828,                0.84713,                0.99866,                      1,                  0.995,                0.89722,                0.50181,                0.40934,                0.77246,              0.0009506,              0.0009506,              0.0009506
                     55,                0.55176,                0.45447,                0.85179,                0.99866,                      1,                  0.995,                0.89099,                0.47999,                0.40337,                0.77009,              0.0009308,              0.0009308,              0.0009308
                     56,                0.49978,                0.41742,                0.82386,                0.99868,                      1,                  0.995,                0.87876,                0.49536,                 0.3997,                0.77395,               0.000911,               0.000911,               0.000911
                     57,                0.50573,                 0.4075,                0.81793,                0.99869,                      1,                  0.995,                0.88053,                0.50792,                0.38431,                0.77498,              0.0008912,              0.0008912,              0.0008912
                     58,                0.54427,                0.41036,                0.83869,                0.99869,                      1,                  0.995,                0.89213,                0.47705,                0.38511,                0.76787,              0.0008714,              0.0008714,              0.0008714
                     59,                0.50625,                 0.3981,                0.80913,                0.99867,                      1,                  0.995,                0.89291,                0.47747,                0.39237,                0.76794,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51018,                0.40832,                  0.821,                0.99861,                      1,                  0.995,                0.89742,                0.47549,                0.38766,                0.76796,              0.0008318,              0.0008318,              0.0008318
                     61,                0.51281,                0.41533,                0.82166,                0.99856,                      1,                  0.995,                0.88924,                0.47168,                0.37611,                 0.7693,               0.000812,               0.000812,               0.000812
                     62,                0.47325,                0.40349,                0.81899,                 0.9985,                      1,                  0.995,                0.88985,                0.49203,                0.38935,                0.77262,              0.0007922,              0.0007922,              0.0007922
                     63,                0.47255,                0.39067,                0.80468,                0.99847,                      1,                  0.995,                0.89221,                0.47752,                0.38628,                0.76864,              0.0007724,              0.0007724,              0.0007724
                     64,                0.46424,                0.40522,                0.82514,                0.99846,                      1,                  0.995,                0.89048,                0.48922,                0.39059,                0.77049,              0.0007526,              0.0007526,              0.0007526
                     65,                0.45026,                0.39142,                0.82917,                0.99852,                      1,                  0.995,                0.88915,                0.52576,                0.39582,                0.77811,              0.0007328,              0.0007328,              0.0007328
                     66,                0.46944,                0.40014,                0.79089,                0.99858,                      1,                  0.995,                0.88604,                 0.5078,                0.39053,                0.77405,               0.000713,               0.000713,               0.000713
                     67,                0.49058,                 0.3956,                0.80437,                0.99861,                      1,                  0.995,                0.89384,                0.48262,                0.37895,                0.76988,              0.0006932,              0.0006932,              0.0006932
                     68,                0.50599,                0.40128,                0.83998,                0.99869,                      1,                  0.995,                0.90196,                0.48239,                 0.3808,                0.77103,              0.0006734,              0.0006734,              0.0006734
                     69,                0.47891,                0.40142,                 0.8165,                0.99871,                      1,                  0.995,                 0.8953,                0.50108,                0.38872,                0.77565,              0.0006536,              0.0006536,              0.0006536
                     70,                0.49766,                0.39263,                0.82719,                0.99871,                      1,                  0.995,                0.89295,                0.50226,                 0.3869,                0.77919,              0.0006338,              0.0006338,              0.0006338
                     71,                0.49434,                0.40031,                0.83216,                0.99874,                      1,                  0.995,                0.89559,                0.47751,                0.36788,                0.77397,               0.000614,               0.000614,               0.000614
                     72,                0.49462,                0.39949,                0.82079,                0.99875,                      1,                  0.995,                0.89227,                0.47795,                 0.3666,                0.77301,              0.0005942,              0.0005942,              0.0005942
                     73,                0.47496,                0.39801,                 0.8545,                0.99875,                      1,                  0.995,                0.89116,                0.47971,                0.36561,                0.77209,              0.0005744,              0.0005744,              0.0005744
                     74,                0.48175,                 0.3718,                0.82309,                0.99879,                      1,                  0.995,                0.89549,                0.48638,                0.36568,                0.77332,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46538,                0.36976,                 0.8163,                0.99878,                      1,                  0.995,                0.90383,                0.49283,                0.36885,                 0.7753,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45864,                0.37417,                0.81842,                0.99878,                      1,                  0.995,                 0.8975,                0.49627,                0.36672,                0.77722,               0.000515,               0.000515,               0.000515
                     77,                0.47913,                0.36572,                 0.8256,                0.99878,                      1,                  0.995,                0.89339,                  0.493,                0.36435,                0.77687,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.4634,                 0.4164,                 0.7973,                0.99878,                      1,                  0.995,                0.89591,                0.48598,                0.35905,                0.77535,              0.0004754,              0.0004754,              0.0004754
                     79,                0.45015,                0.37403,                0.80471,                0.99878,                      1,                  0.995,                0.89307,                0.49161,                0.36839,                0.77461,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.4481,                0.38697,                0.81356,                0.99877,                      1,                  0.995,                0.88707,                0.48853,                0.36056,                0.77458,              0.0004358,              0.0004358,              0.0004358
                     81,                0.45365,                0.37033,                0.80499,                0.99876,                      1,                  0.995,                0.87766,                0.49404,                0.36505,                0.77506,               0.000416,               0.000416,               0.000416
                     82,                  0.471,                0.36989,                 0.8391,                0.99871,                      1,                  0.995,                0.88565,                 0.5001,                 0.3625,                0.77514,              0.0003962,              0.0003962,              0.0003962
                     83,                0.45742,                 0.3707,                0.81223,                0.99873,                      1,                  0.995,                0.89151,                0.48466,                0.35587,                0.77147,              0.0003764,              0.0003764,              0.0003764
                     84,                0.48699,                 0.3806,                0.82607,                0.99872,                      1,                  0.995,                0.89227,                0.47777,                0.35049,                0.76907,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42335,                  0.354,                0.81763,                0.99872,                      1,                  0.995,                0.89265,                0.49866,                0.35515,                0.77313,              0.0003368,              0.0003368,              0.0003368
                     86,                0.44929,                0.35014,                0.81562,                0.99873,                      1,                  0.995,                0.88474,                0.51251,                 0.3599,                0.77625,               0.000317,               0.000317,               0.000317
                     87,                0.44081,                0.36688,                0.83023,                0.99872,                      1,                  0.995,                 0.8841,                0.50594,                0.35811,                0.77516,              0.0002972,              0.0002972,              0.0002972
                     88,                0.43983,                0.37525,                0.80531,                0.99875,                      1,                  0.995,                0.88346,                0.50605,                0.35845,                0.77484,              0.0002774,              0.0002774,              0.0002774
                     89,                0.49844,                0.37868,                0.82764,                0.99874,                      1,                  0.995,                0.87831,                0.50316,                0.35294,                0.77449,              0.0002576,              0.0002576,              0.0002576
                     90,                0.45061,                0.36628,                 0.8019,                0.99876,                      1,                  0.995,                 0.8914,                0.48891,                0.35087,                0.77234,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45357,                0.42441,                0.79805,                0.99874,                      1,                  0.995,                0.90155,                0.47512,                0.34454,                0.76993,               0.000218,               0.000218,               0.000218
                     92,                0.43722,                  0.404,                0.80896,                0.99873,                      1,                  0.995,                0.89918,                0.47356,                0.34008,                0.76926,              0.0001982,              0.0001982,              0.0001982
                     93,                0.42029,                0.37371,                0.81237,                 0.9987,                      1,                  0.995,                0.89617,                0.47503,                0.34583,                0.76874,              0.0001784,              0.0001784,              0.0001784
                     94,                0.41014,                0.37509,                    0.8,                0.99865,                      1,                  0.995,                 0.9018,                0.47821,                0.35859,                0.76864,              0.0001586,              0.0001586,              0.0001586
                     95,                0.40194,                0.38452,                 0.7823,                0.99863,                      1,                  0.995,                0.89369,                0.48247,                0.36737,                 0.7694,              0.0001388,              0.0001388,              0.0001388
                     96,                0.39418,                0.37531,                0.79227,                0.99862,                      1,                  0.995,                0.89352,                0.48238,                0.36771,                0.76978,               0.000119,               0.000119,               0.000119
                     97,                0.37068,                0.37845,                0.78545,                0.99865,                      1,                  0.995,                0.89294,                0.47949,                0.36288,                0.77008,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.46778,                0.42429,                0.79125,                0.99867,                      1,                  0.995,                0.89844,                0.47834,                0.35619,                0.77044,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36239,                 0.3653,                 0.8084,                0.99867,                      1,                  0.995,                0.89414,                 0.4784,                0.35034,                0.77101,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.38582,                 0.3595,                0.79251,                0.99869,                      1,                  0.995,                0.89565,                0.47929,                0.34565,                0.77139,               3.98e-05,               3.98e-05,               3.98e-05
